step,loss_no_act,loss_act,entropy_no_act,entropy_act
0,1.21701520,1.21701530,1.99412090,1.99412083
1,1.26438345,1.26438345,2.00748385,2.00748384
2,3.22734715,3.22734724,2.08337275,2.08337266
3,2.81368246,2.81368240,2.04575672,2.04575669
4,3.33898519,3.33898508,2.14475699,2.14475709
5,2.46106772,2.46106781,2.19967516,2.19967508
6,2.03721809,2.03721809,2.19280827,2.19280832
7,2.17860245,2.17860238,2.09259166,2.09259167
8,3.36112650,3.36112640,2.11685668,2.11685671
9,1.98804460,1.98804449,2.24413488,2.24413499
10,1.53668858,1.53668865,2.09240158,2.09240154
11,1.66724079,1.66724079,2.16793788,2.16793789
12,2.93052199,2.93052213,2.13133752,2.13133747
13,2.29287604,2.29287597,2.19703732,2.19703735
14,1.93811753,1.93811764,2.17157630,2.17157624
15,2.90881349,2.90881363,2.22462862,2.22462860
16,1.56328165,1.56328165,2.15149270,2.15149268
17,2.64236618,2.64236618,2.23855444,2.23855440
18,2.66854651,2.66854651,2.21332848,2.21332846
19,2.32567162,2.32567162,2.21436926,2.21436937
20,1.62973697,1.62973697,2.22829879,2.22829879
21,1.34949943,1.34949932,2.16208605,2.16208616
22,2.74443852,2.74443852,2.11463550,2.11463555
23,2.89931845,2.89931845,2.10082762,2.10082764
24,2.40113225,2.40113217,2.20977508,2.20977512
25,2.85693649,2.85693649,2.19687186,2.19687194
26,3.45827623,3.45827623,2.19675076,2.19675073
27,2.87571399,2.87571399,2.24349340,2.24349337
28,2.79277242,2.79277254,2.25280840,2.25280829
29,1.84391107,1.84391116,2.24631356,2.24631348
30,2.16176363,2.16176369,2.24041221,2.24041214
31,2.57567637,2.57567627,2.25493707,2.25493709
32,2.02331467,2.02331455,2.24613069,2.24613072
33,2.27768061,2.27768061,2.23783640,2.23783643
34,1.62548654,1.62548654,2.23640677,2.23640685
35,2.10078886,2.10078886,2.25574661,2.25574667
36,3.30493548,3.30493548,2.22751690,2.22751685
37,2.15295121,2.15295108,2.22374389,2.22374397
38,1.88355201,1.88355201,2.23611970,2.23611965
39,2.58763892,2.58763902,2.24160690,2.24160686
40,2.61276494,2.61276484,2.23988755,2.23988760
41,2.10152146,2.10152134,2.25238513,2.25238528
42,2.40867474,2.40867474,2.17118710,2.17118707
43,2.23847299,2.23847299,2.22994738,2.22994731
44,2.84119432,2.84119432,2.18859363,2.18859361
45,1.45300860,1.45300867,2.19182263,2.19182260
46,3.24077399,3.24077399,2.21660132,2.21660133
47,2.42031386,2.42031378,2.23005142,2.23005139
48,2.39945386,2.39945378,2.21659190,2.21659192
49,3.45165094,3.45165082,2.17339064,2.17339065
50,2.09164591,2.09164591,2.24957305,2.24957311
51,1.91865809,1.91865809,2.25519645,2.25519648
52,3.08175119,3.08175111,2.23260102,2.23260105
53,2.03997124,2.03997124,2.21237207,2.21237214
54,2.21629040,2.21629040,2.23641369,2.23641363
55,2.43667974,2.43667974,2.23929829,2.23929828
56,2.32149506,2.32149499,2.20878323,2.20878324
57,1.58841524,1.58841524,2.16679690,2.16679689
58,2.11719527,2.11719527,2.23289483,2.23289484
59,2.91780963,2.91780963,2.18897501,2.18897498
60,2.53892700,2.53892700,2.23014415,2.23014421
61,2.76258468,2.76258468,2.27166335,2.27166333
62,2.08674107,2.08674113,2.24647962,2.24647951
63,2.22837665,2.22837665,2.21754648,2.21754645
64,2.52137388,2.52137388,2.21550979,2.21550988
65,3.31309740,3.31309740,2.18988622,2.18988626
66,2.82776793,2.82776800,2.16544519,2.16544516
67,2.48305617,2.48305617,2.05057809,2.05057808
68,1.41752021,1.41752027,2.07502482,2.07502476
69,2.58453885,2.58453885,2.16671215,2.16671209
70,2.21455428,2.21455421,2.19154115,2.19154119
71,1.48044808,1.48044808,2.17645025,2.17645028
72,2.43175495,2.43175495,2.22062064,2.22062066
73,2.41018522,2.41018514,2.20061410,2.20061416
74,1.30534992,1.30534992,2.14454284,2.14454282
75,2.40097851,2.40097851,2.20610724,2.20610715
76,3.29612685,3.29612695,2.18288379,2.18288372
77,2.63749293,2.63749283,2.20411477,2.20411484
78,2.55342933,2.55342924,2.22868238,2.22868239
79,2.40620067,2.40620067,2.23766074,2.23766082
80,2.87209562,2.87209569,2.22821091,2.22821085
81,1.76934141,1.76934141,2.21600945,2.21600943
82,2.21604588,2.21604595,2.16294695,2.16294693
83,2.79037388,2.79037394,2.16615191,2.16615187
84,2.87883238,2.87883231,2.19668630,2.19668636
85,3.06802048,3.06802040,2.18407339,2.18407343
86,2.46983190,2.46983199,2.15987770,2.15987765
87,2.73371368,2.73371357,2.10883802,2.10883803
88,2.48686385,2.48686385,2.23685276,2.23685272
89,2.50975207,2.50975197,2.24314413,2.24314424
90,2.22711821,2.22711828,2.23543153,2.23543146
91,2.53650275,2.53650284,2.22213445,2.22213441
92,2.84700037,2.84700030,2.24293346,2.24293352
93,2.26055642,2.26055649,2.24242289,2.24242290
94,2.77241039,2.77241039,2.24330593,2.24330595
95,2.36469754,2.36469754,2.25875620,2.25875618
96,2.35255831,2.35255831,2.23286942,2.23286942
97,2.92852965,2.92852965,2.23899422,2.23899430
98,2.39486049,2.39486049,2.20267354,2.20267359
99,3.20031686,3.20031677,2.18416878,2.18416885
100,1.97952628,1.97952628,2.22177410,2.22177412
101,2.12167519,2.12167513,2.21340188,2.21340195
102,2.49257595,2.49257595,2.20399799,2.20399800
103,2.58425235,2.58425225,2.21312496,2.21312502
104,2.46484160,2.46484177,2.24398648,2.24398637
105,2.01661277,2.01661277,2.22249893,2.22249897
106,2.24817127,2.24817127,2.25205108,2.25205109
107,2.24401687,2.24401687,2.23080054,2.23080055
108,2.58448463,2.58448463,2.22302991,2.22302992
109,2.23056344,2.23056344,2.21161010,2.21161008
110,2.33166141,2.33166148,2.26392502,2.26392497
111,2.00591615,2.00591615,2.22513669,2.22513670
112,2.12629463,2.12629457,2.21768779,2.21768780
113,1.69067968,1.69067968,2.16442119,2.16442112
114,2.91149423,2.91149423,2.14809701,2.14809702
115,2.35092534,2.35092534,2.13121554,2.13121557
116,2.34942995,2.34942995,2.14143187,2.14143178
117,2.24437839,2.24437825,2.23477687,2.23477697
118,2.01125021,2.01125010,2.24913229,2.24913231
119,2.71076262,2.71076273,2.19620511,2.19620501
120,2.05116375,2.05116375,2.19399555,2.19399553
121,2.40913297,2.40913297,2.23188629,2.23188628
122,2.38150219,2.38150219,2.25229217,2.25229215
123,2.02084288,2.02084288,2.21294509,2.21294498
124,2.52225991,2.52225991,2.26243802,2.26243803
125,2.59001502,2.59001502,2.25592220,2.25592220
126,2.71828399,2.71828399,2.25471846,2.25471841
127,2.30403772,2.30403757,2.24103446,2.24103456
128,2.96136919,2.96136926,2.21903815,2.21903819
129,2.11242850,2.11242862,2.23267540,2.23267535
130,2.13270901,2.13270901,2.25016221,2.25016220
131,1.70868281,1.70868281,2.23049283,2.23049286
132,2.50615654,2.50615645,2.25373690,2.25373695
133,2.81181757,2.81181769,2.25126747,2.25126738
134,3.40237694,3.40237694,2.25460808,2.25460810
135,2.36982703,2.36982703,2.23322316,2.23322322
136,1.88534962,1.88534962,2.24102046,2.24102042
137,3.16222592,3.16222592,2.18152704,2.18152700
138,2.27143883,2.27143876,2.21886558,2.21886566
139,3.00409049,3.00409049,2.16331220,2.16331222
140,2.31757553,2.31757568,2.22871274,2.22871264
141,2.82875894,2.82875894,2.20501400,2.20501395
142,2.35069907,2.35069923,2.15845437,2.15845430
143,2.40504603,2.40504594,2.16243776,2.16243784
144,2.43159956,2.43159956,2.14467709,2.14467708
145,2.11508017,2.11508017,2.25187760,2.25187755
146,3.05234449,3.05234441,2.25559504,2.25559505
147,2.14735412,2.14735412,2.22025444,2.22025445
148,2.84036950,2.84036950,2.27509529,2.27509528
149,2.04981980,2.04981980,2.25831489,2.25831489
150,2.58670295,2.58670305,2.25935625,2.25935620
151,2.28666247,2.28666254,2.24338966,2.24338965
152,2.55026174,2.55026184,2.20993980,2.20993977
153,2.82860789,2.82860789,2.21024614,2.21024618
